Date, Open, High, Low, Close
01/31/18, 3830.39, 3830.39, 3830.39, 3830.39
01/30/18, 3833.65, 3833.65, 3833.65, 3833.65
01/29/18, 3873.75, 3873.75, 3873.75, 3873.75
01/26/18, 3898.30, 3898.30, 3898.30, 3898.30
01/25/18, 3865.59, 3865.59, 3865.59, 3865.59
01/24/18, 3862.51, 3862.51, 3862.51, 3862.51
01/23/18, 3866.30, 3866.30, 3866.30, 3866.30
01/22/18, 3847.03, 3847.03, 3847.03, 3847.03
01/19/18, 3826.80, 3826.80, 3826.80, 3826.80
01/18/18, 3808.00, 3808.00, 3808.00, 3808.00
01/17/18, 3809.53, 3809.53, 3809.53, 3809.53
01/16/18, 3785.23, 3785.23, 3785.23, 3785.23
01/15/18, 3791.99, 3791.99, 3791.99, 3791.99
01/12/18, 3780.69, 3780.69, 3780.69, 3780.69
01/11/18, 3756.46, 3756.46, 3756.46, 3756.46
01/10/18, 3743.65, 3743.65, 3743.65, 3743.65
01/09/18, 3756.73, 3756.73, 3756.73, 3756.73
01/08/18, 3753.36, 3753.36, 3753.36, 3753.36
01/05/18, 3746.90, 3746.90, 3746.90, 3746.90
01/04/18, 3717.70, 3717.70, 3717.70, 3717.70
01/03/18, 3694.77, 3694.77, 3694.77, 3694.77
01/02/18, 3671.89, 3671.89, 3671.89, 3671.89
01/01/18, 3638.43, 3638.43, 3638.43, 3638.43
12/29/17, 3638.64, 3638.64, 3638.64, 3638.64
12/28/17, 3644.48, 3644.48, 3644.48, 3644.48
12/27/17, 3636.69, 3636.69, 3636.69, 3636.69
12/26/17, 3627.44, 3627.44, 3627.44, 3627.44
12/25/17, 3630.69, 3630.69, 3630.69, 3630.69
12/22/17, 3629.42, 3629.42, 3629.42, 3629.42
12/21/17, 3628.10, 3628.10, 3628.10, 3628.10
12/20/17, 3624.46, 3624.46, 3624.46, 3624.46
12/19/17, 3624.41, 3624.41, 3624.41, 3624.41
12/18/17, 3633.38, 3633.38, 3633.38, 3633.38
12/15/17, 3602.75, 3602.75, 3602.75, 3602.75
12/14/17, 3584.57, 3584.57, 3584.57, 3584.57
12/13/17, 3594.87, 3594.87, 3594.87, 3594.87
12/12/17, 3586.12, 3586.12, 3586.12, 3586.12
12/11/17, 3592.48, 3592.48, 3592.48, 3592.48
12/08/17, 3576.64, 3576.64, 3576.64, 3576.64
12/07/17, 3557.83, 3557.83, 3557.83, 3557.83
12/06/17, 3547.46, 3547.46, 3547.46, 3547.46
12/05/17, 3556.95, 3556.95, 3556.95, 3556.95
12/04/17, 3567.04, 3567.04, 3567.04, 3567.04
12/01/17, 3579.10, 3579.10, 3579.10, 3579.10
11/30/17, 3595.79, 3595.79, 3595.79, 3595.79
11/29/17, 3583.86, 3583.86, 3583.86, 3583.86
11/28/17, 3607.27, 3607.27, 3607.27, 3607.27
11/27/17, 3593.57, 3593.57, 3593.57, 3593.57
11/24/17, 3603.17, 3603.17, 3603.17, 3603.17
11/23/17, 3592.28, 3592.28, 3592.28, 3592.28
11/22/17, 3587.99, 3587.99, 3587.99, 3587.99
11/21/17, 3585.39, 3585.39, 3585.39, 3585.39
11/20/17, 3558.06, 3558.06, 3558.06, 3558.06
11/17/17, 3551.17, 3551.17, 3551.17, 3551.17
11/16/17, 3551.95, 3551.95, 3551.95, 3551.95
11/15/17, 3516.99, 3516.99, 3516.99, 3516.99
11/14/17, 3539.59, 3539.59, 3539.59, 3539.59
11/13/17, 3543.85, 3543.85, 3543.85, 3543.85
11/10/17, 3548.51, 3548.51, 3548.51, 3548.51
11/09/17, 3551.97, 3551.97, 3551.97, 3551.97
11/08/17, 3570.06, 3570.06, 3570.06, 3570.06
11/07/17, 3559.49, 3559.49, 3559.49, 3559.49
11/06/17, 3558.09, 3558.09, 3558.09, 3558.09
11/03/17, 3551.03, 3551.03, 3551.03, 3551.03
11/02/17, 3538.63, 3538.63, 3538.63, 3538.63
11/01/17, 3538.86, 3538.86, 3538.86, 3538.86
10/31/17, 3528.92, 3528.92, 3528.92, 3528.92
10/30/17, 3518.13, 3518.13, 3518.13, 3518.13
10/27/17, 3514.41, 3514.41, 3514.41, 3514.41
10/26/17, 3492.96, 3492.96, 3492.96, 3492.96
10/25/17, 3493.67, 3493.67, 3493.67, 3493.67
10/24/17, 3504.81, 3504.81, 3504.81, 3504.81
10/23/17, 3505.70, 3505.70, 3505.70, 3505.70
10/20/17, 3511.75, 3511.75, 3511.75, 3511.75
10/19/17, 3510.02, 3510.02, 3510.02, 3510.02
10/18/17, 3513.83, 3513.83, 3513.83, 3513.83
10/17/17, 3509.78, 3509.78, 3509.78, 3509.78
10/16/17, 3514.91, 3514.91, 3514.91, 3514.91
10/13/17, 3510.93, 3510.93, 3510.93, 3510.93
10/12/17, 3501.52, 3501.52, 3501.52, 3501.52
10/11/17, 3496.63, 3496.63, 3496.63, 3496.63
10/10/17, 3485.79, 3485.79, 3485.79, 3485.79
10/09/17, 3469.45, 3469.45, 3469.45, 3469.45
10/06/17, 3470.09, 3470.09, 3470.09, 3470.09
10/05/17, 3471.89, 3471.89, 3471.89, 3471.89
10/04/17, 3464.28, 3464.28, 3464.28, 3464.28
10/03/17, 3459.13, 3459.13, 3459.13, 3459.13
10/02/17, 3448.11, 3448.11, 3448.11, 3448.11
09/29/17, 3438.57, 3438.57, 3438.57, 3438.57
09/28/17, 3421.28, 3421.28, 3421.28, 3421.28
09/27/17, 3415.99, 3415.99, 3415.99, 3415.99
